loop1,loop2,loop3,time
120.0,120.0,120.0,122.0
120.0,120.0,180.0,123.0
120.0,120.0,60.0,124.0
120.0,120.0,180.0,125.0
120.0,120.0,120.0,126.0
120.0,120.0,120.0,127.0
120.0,120.0,180.0,128.0
120.0,120.0,60.0,129.0
120.0,180.0,180.0,130.0
120.0,60.0,120.0,131.0
120.0,240.0,120.0,132.0
120.0,120.0,120.0,133.0
120.0,120.0,120.0,134.0
120.0,120.0,120.0,135.0
120.0,120.0,120.0,136.0
120.0,120.0,120.0,137.0
120.0,120.0,120.0,138.0
120.0,120.0,120.0,139.0
120.0,120.0,120.0,140.0
120.0,120.0,120.0,141.0
240.0,120.0,120.0,142.0
120.0,120.0,120.0,143.0
120.0,120.0,120.0,144.0
120.0,120.0,120.0,145.0
120.0,120.0,120.0,146.0
120.0,120.0,120.0,147.0
120.0,120.0,180.0,148.0
120.0,120.0,60.0,149.0
120.0,120.0,180.0,150.0
120.0,120.0,60.0,151.0
120.0,120.0,180.0,152.0
120.0,120.0,60.0,153.0
120.0,120.0,240.0,154.0
120.0,240.0,120.0,155.0
120.0,120.0,120.0,156.0
120.0,120.0,120.0,157.0
120.0,120.0,120.0,158.0
120.0,120.0,120.0,159.0
120.0,120.0,120.0,160.0
120.0,120.0,120.0,161.0
120.0,120.0,120.0,162.0
120.0,120.0,120.0,163.0
120.0,120.0,120.0,164.0
120.0,120.0,120.0,165.0
240.0,120.0,120.0,166.0
120.0,120.0,120.0,167.0
120.0,120.0,120.0,168.0
120.0,120.0,120.0,169.0
120.0,120.0,120.0,170.0
120.0,120.0,120.0,171.0
120.0,120.0,240.0,172.0
120.0,120.0,0.0,173.0
120.0,120.0,240.0,174.0
120.0,120.0,60.0,175.0
120.0,120.0,120.0,176.0
120.0,120.0,120.0,177.0
120.0,120.0,60.0,178.0
120.0,240.0,180.0,179.0
120.0,120.0,180.0,180.0
120.0,120.0,120.0,181.0
120.0,120.0,120.0,182.0
120.0,120.0,120.0,183.0
120.0,120.0,120.0,184.0
120.0,120.0,120.0,185.0
120.0,120.0,120.0,186.0
120.0,120.0,240.0,187.0
120.0,120.0,120.0,188.0
240.0,120.0,120.0,189.0
120.0,120.0,120.0,190.0
120.0,120.0,120.0,191.0
120.0,120.0,120.0,192.0
120.0,120.0,120.0,193.0
120.0,120.0,180.0,194.0
120.0,120.0,60.0,195.0
120.0,120.0,180.0,196.0
120.0,120.0,120.0,197.0
120.0,120.0,180.0,198.0
120.0,120.0,60.0,199.0
120.0,180.0,180.0,200.0
120.0,120.0,120.0,201.0
120.0,180.0,60.0,202.0
120.0,120.0,180.0,203.0
120.0,120.0,120.0,204.0
120.0,120.0,120.0,205.0
120.0,120.0,120.0,206.0
120.0,120.0,120.0,207.0
120.0,120.0,120.0,208.0
120.0,120.0,120.0,209.0
120.0,120.0,120.0,210.0
120.0,120.0,120.0,211.0
120.0,120.0,120.0,212.0
240.0,120.0,120.0,213.0
120.0,120.0,120.0,214.0
120.0,120.0,120.0,215.0
